Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length
Center,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090838/center,1.8,-1,Boulder,V1,1,12
Pleione,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090866/pleione,2.4,-1,Boulder,V2,1,15
Atlas,"Merope Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090874/atlas,2.7,-1,Boulder,V3,1,12
Alcyone,"Alcyone Boulder > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090900/alcyone,1.7,-1,Boulder,V0-,1,12
Electra,"Electra > Pleiades > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195628/electra,2.0,-1,Boulder,V3-,1,8
Unknown,"Tuna Juice Area > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090959/unknown,3.0,-1,Boulder,V4,1,10
"Tuna Juice","Tuna Juice Area > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090931/tuna-juice,2.7,-1,Boulder,V6,1,10
Starkist,"Tuna Juice Area > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108090947/starkist,2.0,-1,Boulder,V6,1,10
"Unnamed V3","Satellite Boulder Cluster > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108257917/unnamed-v3,2.0,-1,Boulder,V3,1,10
"Plank Walk","Mutiny Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112108174/plank-walk,2.0,-1,Boulder,V4,1,20
Mutiny,"Mutiny Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108550924/mutiny,2.7,-1,Boulder,V7,1,10
Unnamed,"Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109290718/unnamed,2.4,-1,Boulder,V3-4,1,10
NippleShredder,"Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109290737/nippleshredder,2.0,-1,Boulder,V5,1,10
"Slot Machine AKA Re-Animator","Re-Animation Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109290579/slot-machine-aka-re-animator,2.2,-1,Boulder,V6,1,10
"Gold Corner","Goldstone > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048565/gold-corner,3.0,-1,Boulder,V0,1,14
Goldie,"Goldstone > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112048615/goldie,1.0,-1,Boulder,V2,1,14
"Gold Rush","Gold Rush Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113410243/gold-rush,2.0,-1,Boulder,V4,1,11
"Fool's Gold","Gold Rush Boulder > Long Valley > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113410374/fools-gold,2.0,-1,Boulder,V5,1,11
"Frank's Problem (variation)","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106388393/franks-problem-variation,2.4,-1,Boulder,V2,1,15
"The Terminator","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228982/the-terminator,2.2,-1,Boulder,V2,1,12
"Frank's Direct","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228962/franks-direct,2.3,-1,Boulder,V3,1,15
"Frank's Roof","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228976/franks-roof,3.0,-1,Boulder,V3,1,10
"Frank's Problem","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106387902/franks-problem,2.8,-1,Boulder,V4,1,15
"Short Sloper Traverse","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/106228968/short-sloper-traverse,2.5,-1,Boulder,V4+,1,25
"Posse (Right Variation)","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/113079882/posse-right-variation,2.5,-1,Boulder,V6,1,12
"Hesitation Factor","Frank's Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/112821688/hesitation-factor,2.0,-1,Boulder,V7,1,8
"Bedroom Smackdown","Cross of Choss Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107180617/bedroom-smackdown,0.5,-1,Boulder,V5-,1,14
"Problem C","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195601/problem-c,1.7,-1,Boulder,V1,1,8
"Problem B","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195596/problem-b,1.0,-1,Boulder,V2,1,10
"Problem A","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195591/problem-a,2.3,-1,Boulder,V3,1,10
"Green Hornet","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204528/green-hornet,3.6,-1,Boulder,V5,1,
"Green Hornet Direct","Mandala of Tram > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/110320868/green-hornet-direct,2.6,-1,Boulder,V5,1,
Unnamed,"E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204634/unnamed,1.5,-1,Boulder,V-easy,1,
"Mantel Problem","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195560/mantel-problem,1.0,-1,Boulder,V-easy,1,12
"E.Z Flake","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195572/ez-flake,1.8,-1,Boulder,V-easy,1,12
"E.Z. Left","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107204624/ez-left,1.6,-1,Boulder,V1,1,
"E.Z Right","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195577/ez-right,2.0,-1,Boulder,"V2 PG13",1,18
"One Handed Mantle","E.Z. Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108195566/one-handed-mantle,2.0,-1,Boulder,V5,1,12
"Big Ballz","Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/109083035/big-ballz,2.0,-1,Boulder,V3,1,
"Bonn Scott Memorial Face Problem","Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108187033/bonn-scott-memorial-face-problem,2.3,-1,Boulder,V3-4,1,9
Mangus,"Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107241624/mangus,2.7,-1,Boulder,V5,1,10
Malcolm,"Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108454721/malcolm,2.5,-1,Boulder,V6,1,8
Angus,"Angus Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108454706/angus,2.5,-1,Boulder,V9,1,8
Blacktop,"Blacktop Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/107901552/blacktop,2.7,-1,Boulder,V4,1,12
"Hoch Mantel","Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108004289/hoch-mantel,2.1,-1,Boulder,V4,1,6
Slitherin,"Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108004621/slitherin,2.0,-1,Boulder,V5-,1,6
"Power of Seven","Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108004255/power-of-seven,2.6,-1,Boulder,V7,1,11
"Harry Pothead","Seven Boulder > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108005223/harry-pothead,3.0,-1,Boulder,V8,1,10
"Variation Morgans Arete","Morgan Boulder > The Pit and the Pendulum Cove > Trailside Boulders > The Tramway > San Jacinto Mountains > California",https://www.mountainproject.com/route/108055430/variation-morgans-arete,2.0,-1,Boulder,V3-,1,18
